Source,Target
1 ,0 
2 ,0 
6 ,0 
19 ,0 
20 ,0 
21 ,0 
23 ,0 
28 ,0 
31 ,0 
33 ,0 
39 ,0 
37 ,0 
7 ,1 
11 ,1 
13 ,1 
21 ,1 
33 ,1 
19 ,20 
3 ,20 
238 ,33 
21 ,33 
53 ,33 
39 ,37 
38 ,39 
20 ,53 
28 ,54 
33 ,54 
36 ,56 
13 ,70 
36 ,70 
53 ,70 
70 ,74 
36 ,74 
1 ,74 
20 ,74 
53 ,74 
24 ,74 
7 ,99 
36 ,108 
51 ,113 
23 ,114 
72 ,114 
192 ,114 
103 ,114 
93 ,117 
35 ,129 
70 ,129 
20 ,129 
93 ,143 
238 ,143 
129 ,196 
51 ,199 
28 ,199 
72 ,212 
36 ,228 
51 ,234 
61 ,313 
36 ,436 
93 ,436 
125 ,436 
35 ,505 
36 ,505 
